loc_0001315c: op02                          (0x0000)
loc_00013160: op01                          (0x00)
loc_00013163: transferPatternData           ()
loc_00013165: changeFgTilemap               ([ 0x00 ])
loc_00013168: changeFgTilemap               ([ 0x01 ])
loc_0001316b: playPcm?                      (0x00)
loc_0001316e: setScrollX?                   (0x0000 0x0000 [ ])
loc_00013174: loadFgQuadrant                (0x00 0x00)
loc_00013178: draw                          (0x08)
loc_0001317b: loadFgQuadrant                (0x00 0x01)
loc_0001317f: draw                          (0x08)
loc_00013182: loadFgQuadrant                (0x00 0x02)
loc_00013186: draw                          (0x08)
loc_00013189: loadFgQuadrant                (0x00 0x03)
loc_0001318d: draw                          (0x08)
loc_00013190: loadFgQuadrant                (0x02 0x00)
loc_00013194: setLoopStart                  (0x02)
loc_00013197: renderObjsHigh?               (< 0x00 0x01 0x02 > )
loc_0001319c: draw                          (0x08)
loc_0001319f: renderObjsHigh?               (< 0x03 0x01 0x04 > )
loc_000131a4: draw                          (0x08)
loc_000131a7: renderObjsHigh?               (< 0x00 0x01 0x05 > )
loc_000131ac: draw                          (0x08)
loc_000131af: renderObjsHigh?               (< 0x03 0x01 0x04 > )
loc_000131b4: draw                          (0x08)
loc_000131b7: triggerLoop                   ()
loc_000131b9: renderObjsHigh?               (< 0x00 0x01 0x05 > )
loc_000131be: draw                          (0x08)
loc_000131c1: renderObjsHigh?               (< 0x03 0x01 0x02 > )
loc_000131c6: draw                          (0x08)
loc_000131c9: renderObjsHigh?               (< 0x00 0x01 0x05 > )
loc_000131ce: draw                          (0x08)
loc_000131d1: renderObjsHigh?               (< 0x03 0x01 0x04 > )
loc_000131d6: draw                          (0x08)
loc_000131d9: renderObjsHigh?               (< 0x00 0x01 0x02 > )
loc_000131de: draw                          (0x08)
loc_000131e1: renderObjsHigh?               (< 0x03 0x01 0x04 > )
loc_000131e6: draw                          (0x08)
loc_000131e9: renderObjsHigh?               (< 0x00 0x06 0x05 > )
loc_000131ee: draw                          (0x08)
loc_000131f1: renderObjsHigh?               (< 0x03 0x07 0x05 > )
loc_000131f6: draw                          (0x08)
loc_000131f9: renderObjsHigh?               (< 0x00 0x01 0x04 > )
loc_000131fe: draw                          (0x08)
loc_00013201: loadFgQuadrant                (0x02 0x01)
loc_00013205: renderObjsHigh?               (< 0x08 0x03 0x09 > )
loc_0001320a: draw                          (0x08)
loc_0001320d: renderObjsHigh?               (< 0x08 0x03 0x0a > )
loc_00013212: draw                          (0x04)
loc_00013215: renderObjsHigh?               (< 0x08 0x0b 0x0a > )
loc_0001321a: draw                          (0x04)
loc_0001321d: renderObjsHigh?               (< 0x08 0x0b 0x0c > )
loc_00013222: draw                          (0x08)
