loc_0000630e: op02                          (0x0000)
loc_00006312: transferPatternData           ()
loc_00006314: op01                          (0x00)
loc_00006317: setScroll                     (0x0000 0x0000 [ ])
loc_0000631d: changeFgTilemap               ([ 0x00 ])
loc_00006320: changeFgTilemap               ([ 0x01 ])
loc_00006323: changeFgTilemap               ([ 0x00 ])
loc_00006326: renderObjsHigh?               (< 0x00 0x01 > )
loc_0000632a: draw                          (0x1e)
loc_0000632d: playPcm?                      (0x00)
loc_00006330: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006334: draw                          (0x08)
loc_00006337: renderObjsHigh?               (< 0x00 0x01 > )
loc_0000633b: draw                          (0x08)
loc_0000633e: draw                          (0x05)
loc_00006341: renderObjsHigh?               (< 0x00 0x01 > )
loc_00006345: draw                          (0x06)
loc_00006348: renderObjsHigh?               (< 0x00 0x02 > )
loc_0000634c: draw                          (0x06)
loc_0000634f: renderObjsHigh?               (< 0x00 0x03 > )
loc_00006353: draw                          (0x06)
loc_00006356: renderObjsHigh?               (< 0x00 0x01 > )
loc_0000635a: draw                          (0x06)
loc_0000635d: renderObjsHigh?               (< 0x00 0x03 > )
loc_00006361: draw                          (0x06)
loc_00006364: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006368: draw                          (0x06)
loc_0000636b: renderObjsHigh?               (< 0x00 0x03 > )
loc_0000636f: draw                          (0x06)
loc_00006372: renderObjsHigh?               (< 0x00 0x01 > )
loc_00006376: draw                          (0x06)
loc_00006379: draw                          (0x16)
loc_0000637c: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006380: draw                          (0x06)
loc_00006383: renderObjsHigh?               (< 0x00 0x03 > )
loc_00006387: draw                          (0x06)
loc_0000638a: renderObjsHigh?               (< 0x00 0x01 > )
loc_0000638e: draw                          (0x06)
loc_00006391: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006395: draw                          (0x06)
loc_00006398: renderObjsHigh?               (< 0x00 0x03 > )
loc_0000639c: draw                          (0x06)
loc_0000639f: renderObjsHigh?               (< 0x00 0x02 > )
loc_000063a3: draw                          (0x06)
loc_000063a6: renderObjsHigh?               (< 0x00 0x03 > )
loc_000063aa: draw                          (0x06)
loc_000063ad: renderObjsHigh?               (< 0x00 0x02 > )
loc_000063b1: draw                          (0x06)
loc_000063b4: renderObjsHigh?               (< 0x00 0x01 > )
loc_000063b8: draw                          (0x06)
loc_000063bb: renderObjsHigh?               (< 0x00 0x03 > )
loc_000063bf: draw                          (0x06)
loc_000063c2: renderObjsHigh?               (< 0x00 0x02 > )
loc_000063c6: draw                          (0x06)
