loc_00060d98: transferPatternData           ()
loc_00060d9a: changeFgTilemap               ([ 0x00 ])
loc_00060d9d: changeFgTilemap               ([ ])
loc_00060d9f: op02                          (0x0005 [ ])
loc_00060da3: op02                          (0x0006 < 0xfd0a 0xfe94 0x02fb 0xfe94 0x02fb 0x02bd 0xfd0a 0x02bd > )
loc_00060db7: draw                          (0x02)
loc_00060dba: op02                          (0x0006 < 0xfd5c 0xfebd 0x02cc 0xfebd 0x02cc 0x028b 0xfd5c 0x028b > )
loc_00060dce: draw                          (0x02)
loc_00060dd1: op02                          (0x0006 < 0xfda1 0xfedc 0x029f 0xfedc 0x029f 0x025b 0xfda1 0x025b > )
loc_00060de5: draw                          (0x02)
loc_00060de8: op02                          (0x0006 < 0xfddc 0xfefa 0x027d 0xfefa 0x027d 0x0237 0xfddc 0x0237 > )
loc_00060dfc: draw                          (0x02)
loc_00060dff: op02                          (0x0006 < 0xfe27 0xff1f 0x0250 0xff1f 0x0250 0x0209 0xfe27 0x0209 > )
loc_00060e13: draw                          (0x02)
loc_00060e16: op02                          (0x0006 < 0xfe54 0xff31 0x023c 0xff31 0x023c 0x01ed 0xfe54 0x01ed > )
loc_00060e2a: draw                          (0x02)
loc_00060e2d: op02                          (0x0006 < 0xfe77 0xff44 0x0223 0xff44 0x0223 0x01d6 0xfe77 0x01d6 > )
loc_00060e41: draw                          (0x02)
loc_00060e44: op02                          (0x0006 < 0xfe98 0xff54 0x0211 0xff54 0x0211 0x01c2 0xfe98 0x01c2 > )
loc_00060e58: draw                          (0x02)
loc_00060e5b: op02                          (0x0006 < 0xfeb7 0xff61 0x01ff 0xff61 0x01ff 0x01ad 0xfeb7 0x01ad > )
loc_00060e6f: draw                          (0x02)
loc_00060e72: op02                          (0x0006 < 0xfedc 0xff75 0x01e9 0xff75 0x01e9 0x0196 0xfedc 0x0196 > )
loc_00060e86: draw                          (0x02)
loc_00060e89: op02                          (0x0006 < 0xfef2 0xff81 0x01d9 0xff81 0x01d9 0x0188 0xfef2 0x0188 > )
loc_00060e9d: draw                          (0x02)
loc_00060ea0: op02                          (0x0006 < 0xff09 0xff89 0x01d0 0xff89 0x01d0 0x017a 0xff09 0x017a > )
loc_00060eb4: draw                          (0x02)
loc_00060eb7: op02                          (0x0006 < 0xff1d 0xff93 0x01c5 0xff93 0x01c5 0x016e 0xff1d 0x016e > )
loc_00060ecb: draw                          (0x02)
loc_00060ece: op02                          (0x0006 < 0xff2e 0xff9c 0x01bb 0xff9c 0x01bb 0x0164 0xff2e 0x0164 > )
loc_00060ee2: draw                          (0x02)
loc_00060ee5: op02                          (0x0006 < 0xff44 0xffa6 0x01aa 0xffa6 0x01aa 0x0154 0xff44 0x0154 > )
loc_00060ef9: draw                          (0x02)
loc_00060efc: op02                          (0x0006 < 0xff52 0xffad 0x01a2 0xffad 0x01a2 0x014c 0xff52 0x014c > )
loc_00060f10: draw                          (0x02)
loc_00060f13: op02                          (0x0006 < 0xff62 0xffb5 0x019d 0xffb5 0x019d 0x0143 0xff62 0x0143 > )
loc_00060f27: draw                          (0x02)
loc_00060f2a: op02                          (0x0006 < 0xff6f 0xffb9 0x0196 0xffb9 0x0196 0x013b 0xff6f 0x013b > )
loc_00060f3e: draw                          (0x02)
loc_00060f41: op02                          (0x0006 < 0xff79 0xffbf 0x018d 0xffbf 0x018d 0x0134 0xff79 0x0134 > )
loc_00060f55: draw                          (0x02)
